date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:47:28	4216/4216	---MCZ	200	added ('OK')	text/css	etag:W/%2258882170-1078%22	https://colorlib.com/polygon/vendors/datatables.net-bs/css/dataTables.bootstrap.min.css	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/datatables.net-bs/css/dataTables.bootstrap.min.css	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:47:29	1735/1735	---MCZ	200	added ('OK')	text/css	etag:W/%2258882170-6c7%22	https://colorlib.com/polygon/vendors/datatables.net-buttons-bs/css/buttons.bootstrap.min.css	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/datatables.net-buttons-bs/css/buttons.bootstrap.min.css	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:47:31	328/328	---MCZ	200	added ('OK')	text/css	etag:W/%2258882170-148%22	https://colorlib.com/polygon/vendors/datatables.net-fixedheader-bs/css/fixedHeader.bootstrap.min.css	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/datatables.net-fixedheader-bs/css/fixedHeader.bootstrap.min.css	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:47:32	3921/3921	---MCZ	200	added ('OK')	text/css	etag:W/%2258882170-f51%22	https://colorlib.com/polygon/vendors/datatables.net-responsive-bs/css/responsive.bootstrap.min.css	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/datatables.net-responsive-bs/css/responsive.bootstrap.min.css	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:47:33	414/414	---MCZ	200	added ('OK')	text/css	etag:W/%2258882170-19e%22	https://colorlib.com/polygon/vendors/datatables.net-scroller-bs/css/scroller.bootstrap.min.css	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/datatables.net-scroller-bs/css/scroller.bootstrap.min.css	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:47:56	82638/82638	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-142ce%22	https://colorlib.com/polygon/vendors/datatables.net/js/jquery.dataTables.min.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/datatables.net/js/jquery.dataTables.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:48:00	1960/1960	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-7a8%22	https://colorlib.com/polygon/vendors/datatables.net-bs/js/dataTables.bootstrap.min.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/datatables.net-bs/js/dataTables.bootstrap.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:48:02	15661/15661	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-3d2d%22	https://colorlib.com/polygon/vendors/datatables.net-buttons/js/dataTables.buttons.min.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/datatables.net-buttons/js/dataTables.buttons.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:48:04	939/939	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-3ab%22	https://colorlib.com/polygon/vendors/datatables.net-buttons-bs/js/buttons.bootstrap.min.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/datatables.net-buttons-bs/js/buttons.bootstrap.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:48:06	21956/21956	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-55c4%22	https://colorlib.com/polygon/vendors/datatables.net-buttons/js/buttons.flash.min.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/datatables.net-buttons/js/buttons.flash.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:48:07	131347/131347	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-20113%22	https://colorlib.com/polygon/vendors/fullcalendar/dist/fullcalendar.min.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/fullcalendar/dist/fullcalendar.min.js	(from https://colorlib.com/polygon/gentelella/calendar.html)
06:48:10	1694/1694	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-69e%22	https://colorlib.com/polygon/vendors/datatables.net-buttons/js/buttons.print.min.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/datatables.net-buttons/js/buttons.print.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:48:10	20463/20463	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-4fef%22	https://colorlib.com/polygon/vendors/datatables.net-buttons/js/buttons.html5.min.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/datatables.net-buttons/js/buttons.html5.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:48:10	6652/6652	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-19fc%22	https://colorlib.com/polygon/vendors/datatables.net-fixedheader/js/dataTables.fixedHeader.min.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/datatables.net-fixedheader/js/dataTables.fixedHeader.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:48:11	7094/7094	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-1bb6%22	https://colorlib.com/polygon/vendors/datatables.net-keytable/js/dataTables.keyTable.min.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/datatables.net-keytable/js/dataTables.keyTable.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
